source,target_slug,descriptor_family,split_family,model,group_column,group_id,n,sum_abs_error,sum_abs_error_sq,sum_signed_residual,sum_target,sum_prediction,mean_abs_error,std_abs_error,median_abs_error,mean_signed_residual,target_mean,pred_mean,group_label,source_note,group_label_v9
hardest_geometry_groups_exact,co2_015bar,enriched_interpretable,geo_grouped,rf,geo_cluster,70199,26,54.30747029125782,118.0540938119821,51.98370114502436,133.557273,81.57357185497563,2.08874885735607,0.4298570597404956,,1.9993731209624754,5.136818192307692,3.1374450713452164,geo:70199,Exact disk-based aggregation from full per-experiment prediction CSV files.,geo:70199
hardest_geometry_groups_exact,co2_015bar,enriched_interpretable,geo_grouped,rf,geo_cluster,109675,20,37.35970017160137,70.48812262001937,37.35970017160137,84.857158,47.49745782839863,1.8679850085800684,0.19204752350748527,,1.8679850085800684,4.2428579,2.3748728914199315,geo:109675,Exact disk-based aggregation from full per-experiment prediction CSV files.,geo:109675
hardest_geometry_groups_exact,co2_015bar,enriched_interpretable,geo_grouped,rf,geo_cluster,94288,26,43.75110915123518,73.98867731841182,43.75110915123518,123.437745,79.68663584876482,1.682734967355199,0.12118681265786856,,1.682734967355199,4.747605576923077,3.064870609567878,geo:94288,Exact disk-based aggregation from full per-experiment prediction CSV files.,geo:94288
hardest_geometry_groups_exact,co2_015bar,enriched_interpretable,geo_grouped,rf,geo_cluster,70224,23,34.59950498295608,52.19864620721053,-34.59950498295608,40.287986000000004,74.88749098295608,1.504326303606786,0.082489880805203,,-1.504326303606786,1.7516515652173914,3.2559778688241776,geo:70224,Exact disk-based aggregation from full per-experiment prediction CSV files.,geo:70224
hardest_geometry_groups_exact,co2_015bar,enriched_interpretable,geo_grouped,rf,geo_cluster,92595,23,30.927716364951518,41.943178284382434,30.927716364951518,95.419992,64.49227563504849,1.3446833202152835,0.12706368411921912,,1.3446833202152835,4.148695304347826,2.804011984132543,geo:92595,Exact disk-based aggregation from full per-experiment prediction CSV files.,geo:92595
hardest_geometry_groups_exact,co2_015bar,enriched_interpretable,geo_grouped,rf,geo_cluster,63628,22,24.81104273741449,28.340066317171463,24.81104273741449,46.270684,21.459641262585514,1.1277746698824769,0.13071247700561525,,1.1277746698824769,2.1032129090909093,0.9754382392084324,geo:63628,Exact disk-based aggregation from full per-experiment prediction CSV files.,geo:63628
hardest_geometry_groups_exact,co2_015bar,enriched_interpretable,geo_grouped,rf,geo_cluster,98317,20,20.349002318459625,20.777302498608556,-20.349002318459625,30.368252,50.717254318459624,1.0174501159229812,0.06207284802416777,,-1.0174501159229812,1.5184126,2.535862715922981,geo:98317,Exact disk-based aggregation from full per-experiment prediction CSV files.,geo:98317
hardest_geometry_groups_exact,co2_015bar,enriched_interpretable,geo_grouped,rf,geo_cluster,106274,24,22.47662119519415,21.47717370283896,21.171785193754204,71.723179,50.5513938062458,0.9365258831330895,0.13629191627466108,,0.8821577164064252,2.9884657916666666,2.1063080752602414,geo:106274,Exact disk-based aggregation from full per-experiment prediction CSV files.,geo:106274
hardest_geometry_groups_exact,co2_015bar,enriched_interpretable,geo_grouped,rf,geo_cluster,92014,21,18.441363716410965,16.865954970951154,17.715752886532567,62.140425,44.42467211346744,0.8781601769719507,0.18323260437809505,,0.8436072803110746,2.9590678571428572,2.115460576831783,geo:92014,Exact disk-based aggregation from full per-experiment prediction CSV files.,geo:92014
hardest_geometry_groups_exact,co2_015bar,enriched_interpretable,geo_grouped,rf,geo_cluster,97389,22,18.550758755873602,15.900200645412434,17.108812975541603,56.124441000000004,39.0156280244584,0.8432163070851637,0.11081910477739546,,0.7776733170700729,2.5511109545454547,1.773437637475382,geo:97389,Exact disk-based aggregation from full per-experiment prediction CSV files.,geo:97389
hardest_geometry_groups_exact,co2_015bar,enriched_interpretable,geo_grouped,rf,geo_cluster,67138,20,13.574497389953795,9.319141117493052,13.574497389953795,49.570213,35.995715610046204,0.6787248694976897,0.07461908461962109,,0.6787248694976897,2.47851065,1.7997857805023103,geo:67138,Exact disk-based aggregation from full per-experiment prediction CSV files.,geo:67138
hardest_geometry_groups_exact,co2_015bar,enriched_interpretable,geo_grouped,rf,geo_cluster,90554,21,12.693609434369462,7.811483006912925,-12.693609434369462,13.418925999999999,26.11253543436946,0.6044575921128315,0.08328697767155438,,-0.6044575921128315,0.6389964761904762,1.2434540683033075,geo:90554,Exact disk-based aggregation from full per-experiment prediction CSV files.,geo:90554
hardest_chemistry_topology_groups_exact,co2_015bar,enriched_interpretable,metal_grouped,rf,metal_cluster,2157.0,25,162.40116232609458,1073.0615543521726,162.40116232609458,204.547221,42.146058673905415,6.496046493043783,0.8683330140157361,,6.496046493043783,8.181888840000001,1.6858423469562167,metal:2157.0,Exact disk-based aggregation from full per-experiment prediction CSV files.,metal:2157
hardest_chemistry_topology_groups_exact,co2_015bar,enriched_interpretable,metal_grouped,rf,metal_cluster,1858.0,22,79.53180436523162,318.2306617922502,79.53180436523162,92.213921,12.682116634768382,3.6150820166014372,1.2094206815393589,,3.6150820166014372,4.191541863636363,0.5764598470349265,metal:1858.0,Exact disk-based aggregation from full per-experiment prediction CSV files.,metal:1858
hardest_chemistry_topology_groups_exact,co2_015bar,enriched_interpretable,metal_grouped,rf,metal_cluster,1919.0,22,77.76905361343516,291.1552965573407,77.76905361343516,88.304645,10.535591386564837,3.534956982428871,0.879530109115166,,3.534956982428871,4.0138475,0.47889051757112894,metal:1919.0,Exact disk-based aggregation from full per-experiment prediction CSV files.,metal:1919
hardest_chemistry_topology_groups_exact,co2_015bar,enriched_interpretable,metal_grouped,rf,metal_cluster,1837.0,61,211.49521162939064,889.3661253592093,211.49521162939064,259.738693,48.243481370609366,3.4671346168752564,1.6128843511733393,,3.4671346168752564,4.258011360655738,0.7908767437804815,metal:1837.0,Exact disk-based aggregation from full per-experiment prediction CSV files.,metal:1837
hardest_chemistry_topology_groups_exact,co2_015bar,enriched_interpretable,metal_grouped,rf,metal_cluster,1120.0,31,103.67114472940852,371.4553954472972,103.67114472940852,168.290003,64.61885827059147,3.3442304751422105,0.9083904052467464,,3.3442304751422105,5.428709774193549,2.084479299051338,metal:1120.0,Exact disk-based aggregation from full per-experiment prediction CSV files.,metal:1120
hardest_chemistry_topology_groups_exact,co2_015bar,enriched_interpretable,metal_grouped,rf,metal_cluster,2170.0,39,123.02213492657471,439.629887676275,123.02213492657471,185.292238,62.2701030734253,3.154413716066018,1.1649167339134883,,3.154413716066018,4.751083025641026,1.5966693095750075,metal:2170.0,Exact disk-based aggregation from full per-experiment prediction CSV files.,metal:2170
hardest_chemistry_topology_groups_exact,co2_015bar,enriched_interpretable,metal_grouped,rf,metal_cluster,1901.0,28,82.41727928551026,267.75628431220406,82.41727928551026,115.585272,33.16799271448974,2.943474260196795,0.965385053476631,,2.943474260196795,4.128045428571428,1.1845711683746336,metal:1901.0,Exact disk-based aggregation from full per-experiment prediction CSV files.,metal:1901
hardest_chemistry_topology_groups_exact,co2_015bar,enriched_interpretable,metal_grouped,rf,metal_cluster,313.0,25,64.8863041588628,181.88795970469806,64.8863041588628,74.980502,10.094197841137202,2.595452166354512,0.7494070158253964,,2.595452166354512,2.99922008,0.4037679136454881,metal:313.0,Exact disk-based aggregation from full per-experiment prediction CSV files.,metal:313
hardest_chemistry_topology_groups_exact,co2_015bar,enriched_interpretable,linker_grouped,rf,linker_cluster,2934.0,56,142.36025147883893,455.9836778204129,97.64625877158971,198.446716,100.80045722841028,2.5421473478364094,1.307898676129408,,1.7436831923498164,3.5436913571428574,1.8000081647930408,linker:2934.0,Exact disk-based aggregation from full per-experiment prediction CSV files.,linker:2934
hardest_chemistry_topology_groups_exact,co2_015bar,enriched_interpretable,metal_grouped,rf,metal_cluster,1898.0,32,78.23100827809823,207.8592237199704,78.23100827809823,105.382416,27.151407721901766,2.4447190086905697,0.7319084799449326,,2.4447190086905697,3.2932005,0.8484814913094302,metal:1898.0,Exact disk-based aggregation from full per-experiment prediction CSV files.,metal:1898
hardest_chemistry_topology_groups_exact,co2_015bar,enriched_interpretable,func_grouped,rf,func_cluster,18.0,54,129.91135594963046,401.2586394878622,94.00839088258873,198.135342,104.12695111741127,2.4057658509190825,1.2938339669052903,,1.7408961274553467,3.6691730000000002,1.928276872544653,func:18.0,Exact disk-based aggregation from full per-experiment prediction CSV files.,func:18
hardest_chemistry_topology_groups_exact,co2_015bar,enriched_interpretable,func_grouped,rf,func_cluster,6.0,37,83.37557952664993,191.20803141819363,-83.37557952664993,5.034623,88.41020252664993,2.253394041260809,0.3041380044109171,,-2.253394041260809,0.1360708918918919,2.3894649331527007,func:6.0,Exact disk-based aggregation from full per-experiment prediction CSV files.,func:6
